tradingDate,VNINDEX PB,HNXIndex PB,UpcomIndex PB,OILGAS_L2 PB,CHEMICAL_L2 PB,BASICRES_L2 PB,CONSTRMAT_L2 PB,INDUSTGDS_L2 PB,AUTOPARTS_L2 PB,FOODBEVERA_L2 PB,PERSHHOLD_L2 PB,HEALTHCARE_L2 PB,RETAIL_L2 PB,MEDIA_L2 PB,TRAVELLSR_L2 PB,TELECOM_L2 PB,UTILITIES_L2 PB,BANKS_L2 PB,INSURANCE_L2 PB,REALESTATE_L2 PB,FINSERV_L2 PB,TECHNOLOGY_L2 PB
2010-01-04,2.50200173,2.43928253,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-01-05,2.57054804,2.56526298,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-01-06,2.56126438,2.51526052,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-01-07,2.54846574,2.49185808,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-01-08,2.4969107,2.50658891,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-01-11,2.4745371,2.45668611,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-01-12,2.39625875,2.40202697,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-01-13,2.44588472,2.37378231,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-01-14,2.4577084,2.43938327,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-01-15,2.42355805,2.39963771,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-01-18,2.33702617,2.30329728,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-01-19,2.37862805,2.31861709,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
