tradingDate,VNINDEX PE,VNINDEX PB,VNINDEX PS,HNXIndex PE,HNXIndex PB,HNXIndex PS,UpcomIndex PE,UpcomIndex PB,UpcomIndex PS,OILGAS_L2 PE,OILGAS_L2 PB,OILGAS_L2 PS,CHEMICAL_L2 PE,CHEMICAL_L2 PB,CHEMICAL_L2 PS,BASICRES_L2 PE,BASICRES_L2 PB,BASICRES_L2 PS,CONSTRMAT_L2 PE,CONSTRMAT_L2 PB,CONSTRMAT_L2 PS,INDUSTGDS_L2 PE,INDUSTGDS_L2 PB,INDUSTGDS_L2 PS,AUTOPARTS_L2 PE,AUTOPARTS_L2 PB,AUTOPARTS_L2 PS,FOODBEVERA_L2 PE,FOODBEVERA_L2 PB,FOODBEVERA_L2 PS,PERSHHOLD_L2 PE,PERSHHOLD_L2 PB,PERSHHOLD_L2 PS,HEALTHCARE_L2 PE,HEALTHCARE_L2 PB,HEALTHCARE_L2 PS,RETAIL_L2 PE,RETAIL_L2 PB,RETAIL_L2 PS,MEDIA_L2 PE,MEDIA_L2 PB,MEDIA_L2 PS,TRAVELLSR_L2 PE,TRAVELLSR_L2 PB,TRAVELLSR_L2 PS,TELECOM_L2 PE,TELECOM_L2 PB,TELECOM_L2 PS,UTILITIES_L2 PE,UTILITIES_L2 PB,UTILITIES_L2 PS,BANKS_L2 PE,BANKS_L2 PB,BANKS_L2 PS,INSURANCE_L2 PE,INSURANCE_L2 PB,INSURANCE_L2 PS,REALESTATE_L2 PE,REALESTATE_L2 PB,REALESTATE_L2 PS,FINSERV_L2 PE,FINSERV_L2 PB,FINSERV_L2 PS,TECHNOLOGY_L2 PE,TECHNOLOGY_L2 PB,TECHNOLOGY_L2 PS
2010-01-04,18.16245375,2.50200173,7.48266789,11.34231102,2.43928253,2.32971097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-05,18.78927856,2.57054804,7.77820563,12.03334527,2.56526298,2.47552966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-06,18.75019327,2.56126438,7.82591735,11.87259084,2.51526052,2.49144199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-07,18.420235,2.54846574,7.86975719,11.79283099,2.49185808,2.53538795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-08,17.99915677,2.4969107,7.68031355,12.08141975,2.50658891,2.59370928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-11,17.84434293,2.4745371,7.61745816,11.77575085,2.45668611,2.4879322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-12,17.02311788,2.39625875,7.33701143,11.52556004,2.40202697,2.37674665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-13,17.41080687,2.44588472,7.56362965,11.13210135,2.37378231,2.34374879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-14,17.6390898,2.4577084,7.56514216,11.5842652,2.43938327,2.40819119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-15,17.53838621,2.42355805,7.46584995,12.68080544,2.39963771,2.43741042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-18,17.02023286,2.33702617,7.22150538,12.07828951,2.30329728,2.32535514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-19,17.32126148,2.37862805,7.31394528,12.29832329,2.31861709,2.34342431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-20,17.16398277,2.3423567,7.18549342,12.11236511,2.27006811,2.31223764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-21,18.58653125,2.29315368,7.06133636,11.56965727,2.18857876,2.22246113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-22,18.62701521,2.29108303,7.03422431,11.63059034,2.17258063,2.18920893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-25,16.98909283,2.30627507,7.02886895,11.70274121,2.18925745,2.20687965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-26,17.45478897,2.37967826,7.17546589,12.12032678,2.28586513,2.32064297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-27,17.03499905,2.32867339,7.09140435,11.7360421,2.27989029,2.25844516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-28,13.1662486,2.27121549,3.68189436,14.07232109,2.04030448,12.45012043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-29,11.99821123,2.24686365,3.82278751,14.53075549,2.03873523,11.88138292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-01,13.05337966,2.26671156,4.03492602,14.58707172,2.06389117,12.63102437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-02,13.09136368,2.27539499,4.04137508,14.20992567,2.07782767,13.61730818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-03,13.23350343,2.31204756,4.09342274,13.98252835,2.07728038,14.39352131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-04,13.38231766,2.34491499,4.1577863,14.18907163,2.10755023,15.05254926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-05,13.27040411,2.3036677,3.97712066,14.03263542,2.08228082,14.98217374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-08,13.2415354,2.29547248,3.97108393,13.79846704,2.06710932,14.22662146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-09,14.4005396,2.23283278,3.89175639,13.62000146,2.05222898,14.46210467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-10,13.17775333,2.29555763,3.97018286,13.86030695,2.08878451,15.94496173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-11,13.64905304,2.34227635,4.04881926,14.04978855,2.0997298,14.66091047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-12,13.87866154,2.37130812,4.08369965,14.2987902,2.14385667,15.58959918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-22,14.11551495,2.39112805,4.11331717,13.69142685,2.15258922,14.88254776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-23,14.1387008,2.33696869,3.97438028,13.94751894,2.09399417,14.50196714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-24,13.90979431,2.34102544,3.98075869,13.88285172,2.083404,14.13356416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-25,14.08640778,2.34700236,3.98261718,14.04082917,2.1079579,15.05812356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
